,id,degreeType,major,earlyCareerMedianPay,midCareerMedianPay,fiveToTenYearMedianPay,tenToTwentyYearMedianPay,twentyPlusYearMedianPay,percentHighMeaning,year,url,rank,tie
721,4324,Bachelors,Music Industry,45800,64100,60200.0,63900.0,,0.38,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Music_Industry/Salary,721,True
722,4249,Bachelors,Wildlife Management,39700,64100,53800.0,60600.0,81700.0,0.49,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Wildlife_Management/Salary,721,True
723,4250,Bachelors,Supervision & Management,41700,64100,52200.0,63600.0,68900.0,0.57,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Supervision_%26_Management/Salary,721,True
724,4222,Bachelors,Health & Wellness,40100,64000,44500.0,57800.0,,0.7,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Health_%26_Wellness/Salary,725,True
725,4248,Bachelors,Culinary Arts & Food Service Management,41300,64000,46400.0,63800.0,66600.0,0.5,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Culinary_Arts_%26_Food_Service_Management/Salary,725,True
726,4173,Bachelors,Mortuary Science,43500,64000,51100.0,56800.0,76000.0,0.85,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Mortuary_Science/Salary,725,True
727,4174,Bachelors,Clinical Psychology,43000,63900,56700.0,62000.0,81000.0,0.65,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Clinical_Psychology/Salary,728,True
728,4175,Bachelors,Community Health Education,42600,63900,49300.0,60400.0,69800.0,0.75,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Community_Health_Education/Salary,728,True
729,4176,Bachelors,Dance,45100,63900,52800.0,60900.0,71800.0,0.62,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Dance/Salary,728,True
730,4177,Bachelors,Speech Pathology,42800,63700,46600.0,63000.0,73400.0,0.69,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Speech_Pathology/Salary,731,False
731,4178,Bachelors,Gender Studies,45500,63600,58200.0,60500.0,,0.55,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Gender_Studies/Salary,732,True
732,4179,Bachelors,Secondary English Teacher Education,42000,63600,49700.0,60200.0,72200.0,0.64,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Secondary_English_Teacher_Education/Salary,732,True
733,4180,Bachelors,Photography,43800,63500,53300.0,61400.0,69700.0,0.38,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Photography/Salary,734,False
734,4181,Bachelors,English Teacher Education,43300,63100,52500.0,61900.0,67000.0,0.57,2021,/research/US/Degree=Bachelor%27s_Degree%2C_English_Teacher_Education/Salary,735,True
735,4182,Bachelors,Paralegal Studies,39600,63100,51900.0,60700.0,67700.0,0.5,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Paralegal_Studies/Salary,735,True
736,4184,Bachelors,Social Studies Teacher Education,43400,63100,46100.0,57100.0,73200.0,0.65,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Social_Studies_Teacher_Education/Salary,735,True
737,4185,Bachelors,Teaching English as a Second Language (ESL),42800,63000,43800.0,,,0.73,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Teaching_English_as_a_Second_Language_(ESL)/Salary,738,True
738,4195,Bachelors,Music Teacher Education,42000,63000,49800.0,61700.0,63900.0,0.62,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Music_Teacher_Education/Salary,738,True
739,4186,Bachelors,Health Promotion,42300,62800,52000.0,59700.0,,0.69,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Health_Promotion/Salary,740,True
740,4187,Bachelors,Recording Arts,44800,62800,59300.0,59400.0,,0.48,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Recording_Arts/Salary,740,True
741,4188,Bachelors,Photojournalism,41900,62600,49000.0,59600.0,74900.0,0.59,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Photojournalism/Salary,742,False
742,4189,Bachelors,Recreation Administration,47000,62500,47400.0,60500.0,65100.0,0.71,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Recreation_Administration/Salary,743,False
743,4190,Bachelors,Radio Broadcasting,46300,62400,46600.0,55800.0,,0.33,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Radio_Broadcasting/Salary,744,False
744,4191,Bachelors,Sculpture,40300,62200,46200.0,59800.0,76800.0,0.47,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Sculpture/Salary,745,False
745,4192,Bachelors,Painting,40700,62000,51900.0,58100.0,79800.0,0.44,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Painting/Salary,746,True
